year,district,crop,yield_t_ha,sown_area_ha,gross_output_t
1998,Аккольский,Зерновые и бобовые,0.36,113700.0,40932.0
1999,Аккольский,Зерновые и бобовые,1.49,84500.0,125905.0
2000,Аккольский,Зерновые и бобовые,0.95,95000.0,90250.0
2001,Аккольский,Зерновые и бобовые,1.19,100000.0,119000.0
2002,Аккольский,Зерновые и бобовые,0.86,133000.0,114380.0
2003,Аккольский,Зерновые и бобовые,0.78,133000.0,103740.0
2004,Аккольский,Зерновые и бобовые,0.47000000000000003,133400.0,62698.00000000001
2005,Аккольский,Зерновые и бобовые,0.71,138000.0,97980.0
2006,Аккольский,Зерновые и бобовые,0.9400000000000001,114508.0,107637.52
2007,Аккольский,Зерновые и бобовые,0.9199999999999999,123630.0,113739.59999999999
2008,Аккольский,Зерновые и бобовые,0.4,143008.0,57203.200000000004
2009,Аккольский,Зерновые и бобовые,1.27,146037.0,185466.99
2010,Аккольский,Зерновые и бобовые,0.5599999999999999,134197.0,75150.31999999999
2011,Аккольский,Зерновые и бобовые,1.28,124336.0,159150.08000000002
2012,Аккольский,Зерновые и бобовые,0.5900000000000001,133309.0,78652.31000000001
2013,Аккольский,Зерновые и бобовые,0.9400000000000001,128355.68,120654.3392
2014,Аккольский,Зерновые и бобовые,0.82,123428.51,101211.37819999999
2015,Аккольский,Зерновые и бобовые,1.02958,107764.0,110951.65912
2016,Аккольский,Зерновые и бобовые,1.08842,122333.0,133149.68386
2017,Аккольский,Зерновые и бобовые,0.93666,125840.6,117869.85639600002
2018,Аккольский,Зерновые и бобовые,1.05,127839.0,134230.95
2019,Аккольский,Зерновые и бобовые,0.96,137887.7,132372.192
2020,Аккольский,Зерновые и бобовые,1.2,138412.0,166094.4
2021,Аккольский,Зерновые и бобовые,0.8918200000000001,139092.1,124045.11662200002
2022,Аккольский,Зерновые и бобовые,1.06328,169757.1,180499.329288
2023,Аккольский,Зерновые и бобовые,0.51,165470.5,84389.955
2024,Аккольский,Зерновые и бобовые,1.45,157445.9,228296.555
2025,Аккольский,Зерновые и бобовые,1.56,155440.3,242486.868
1997,Аккольский,Пшеница,0.45999999999999996,132000.0,60719.99999999999
1998,Аккольский,Пшеница,0.36,106000.0,38160.0
1999,Аккольский,Пшеница,1.47,78.5,115.395
2000,Аккольский,Пшеница,0.89,86.9,77.34100000000001
2001,Аккольский,Пшеница,1.17,86.8,101.556
2002,Аккольский,Пшеница,0.8300000000000001,116.5,96.69500000000001
2003,Аккольский,Пшеница,0.8,116.7,93.36000000000001
2004,Аккольский,Пшеница,0.49000000000000005,112000.0,54880.00000000001
2005,Аккольский,Пшеница,0.7,112538.0,78776.59999999999
2006,Аккольский,Пшеница,0.95,100339.0,95322.04999999999
2007,Аккольский,Пшеница,0.9,105929.0,95336.1
2008,Аккольский,Пшеница,0.4,123463.0,49385.200000000004
2009,Аккольский,Пшеница,1.27,125296.0,159125.92
2010,Аккольский,Пшеница,0.58,124065.0,71957.7
2011,Аккольский,Пшеница,1.26,108207.0,136340.82
2012,Аккольский,Пшеница,0.58,114876.0,66628.08
2013,Аккольский,Пшеница,0.8800000000000001,105960.7,93245.41600000001
2014,Аккольский,Пшеница,0.8300000000000001,101106.35,83918.27050000001
2015,Аккольский,Пшеница,1.05,89914.0,94409.7
2016,Аккольский,Пшеница,1.03,103395.0,106496.85
2017,Аккольский,Пшеница,0.93,106210.0,98775.3
2018,Аккольский,Пшеница,1.04,104623.5,108808.44
2019,Аккольский,Пшеница,0.9800000000000001,109014.7,106834.406
2020,Аккольский,Пшеница,1.2,106861.0,128233.2
2021,Аккольский,Пшеница,0.91727,117665.0,107930.57455
2022,Аккольский,Пшеница,1.08013,138977.2,150113.443036
2023,Аккольский,Пшеница,0.53,144359.5,76510.535
2024,Аккольский,Пшеница,1.4300000000000002,135000.4,193050.57200000001
2025,Аккольский,Пшеница,1.55,133984.13,207675.4015
1991,Аршалынский,Зерновые и бобовые,0.71,208000.0,147680.0
1992,Аршалынский,Зерновые и бобовые,1.8699999999999999,204000.0,381480.0
1993,Аршалынский,Зерновые и бобовые,1.22,198700.0,242414.0
1994,Аршалынский,Зерновые и бобовые,0.6799999999999999,180700.0,122875.99999999999
1995,Аршалынский,Зерновые и бобовые,0.82,172500.0,141450.0
1996,Аршалынский,Зерновые и бобовые,1.1199999999999999,175200.0,196223.99999999997
1997,Аршалынский,Зерновые и бобовые,0.65,167400.0,108810.0
1998,Аршалынский,Зерновые и бобовые,0.45999999999999996,146800.0,67528.0
1999,Аршалынский,Зерновые и бобовые,1.1400000000000001,139584.0,159125.76
2000,Аршалынский,Зерновые и бобовые,0.8300000000000001,165055.0,136995.65000000002
2001,Аршалынский,Зерновые и бобовые,0.99,180000.0,178200.0
2002,Аршалынский,Зерновые и бобовые,0.8800000000000001,180500.0,158840.00000000003
2003,Аршалынский,Зерновые и бобовые,0.63,162000.0,102060.0
2004,Аршалынский,Зерновые и бобовые,0.79,145829.0,115204.91
2005,Аршалынский,Зерновые и бобовые,0.64,150114.0,96072.96
2006,Аршалынский,Зерновые и бобовые,0.9199999999999999,140432.0,129197.43999999999
2007,Аршалынский,Зерновые и бобовые,1.28,146749.0,187838.72
2008,Аршалынский,Зерновые и бобовые,0.8099999999999999,162859.0,131915.78999999998
2009,Аршалынский,Зерновые и бобовые,1.1800000000000002,180917.0,213482.06000000003
2010,Аршалынский,Зерновые и бобовые,0.82,179400.0,147108.0
2011,Аршалынский,Зерновые и бобовые,1.26,158489.0,199696.14
2012,Аршалынский,Зерновые и бобовые,0.74,162036.0,119906.64
2013,Аршалынский,Зерновые и бобовые,1.19,165676.82,197155.4158
2014,Аршалынский,Зерновые и бобовые,1.1099999999999999,164071.21,182119.04309999998
2015,Аршалынский,Зерновые и бобовые,1.06752,165708.0,176896.60416000002
2016,Аршалынский,Зерновые и бобовые,0.9797399999999999,173125.0,169617.4875
2017,Аршалынский,Зерновые и бобовые,0.77818,173554.2,135056.407356
2018,Аршалынский,Зерновые и бобовые,1.09,171117.9,186518.511
2019,Аршалынский,Зерновые и бобовые,0.73,175421.0,128057.33
2020,Аршалынский,Зерновые и бобовые,1.31,176677.0,231446.87
2021,Аршалынский,Зерновые и бобовые,0.91585,191114.2,175031.94007
2022,Аршалынский,Зерновые и бобовые,0.8927400000000001,194289.5,173450.00823
2023,Аршалынский,Зерновые и бобовые,0.54,209119.3,112924.422
2024,Аршалынский,Зерновые и бобовые,1.3199999999999998,204994.2,270592.344
2025,Аршалынский,Зерновые и бобовые,1.33,199646.25,265529.5125
1991,Аршалынский,Пшеница,0.8300000000000001,127700.0,105991.00000000001
1992,Аршалынский,Пшеница,1.72,132200.0,227384.0
1993,Аршалынский,Пшеница,1.1199999999999999,110800.0,124095.99999999999
1994,Аршалынский,Пшеница,0.65,119200.0,77480.0
1995,Аршалынский,Пшеница,0.79,132300.0,104517.0
1996,Аршалынский,Пшеница,0.97,142300.0,138031.0
1997,Аршалынский,Пшеница,0.65,126100.0,81965.0
1998,Аршалынский,Пшеница,0.48,121600.0,58368.0
1999,Аршалынский,Пшеница,1.1,120.8,132.88
2000,Аршалынский,Пшеница,0.8099999999999999,134.4,108.86399999999999
2001,Аршалынский,Пшеница,0.9400000000000001,250.0,235.00000000000003
2002,Аршалынский,Пшеница,0.85,150.8,128.18
2003,Аршалынский,Пшеница,0.6599999999999999,111.2,73.392
2004,Аршалынский,Пшеница,0.8400000000000001,117452.0,98659.68000000001
2005,Аршалынский,Пшеница,0.63,130480.0,82202.4
2006,Аршалынский,Пшеница,0.9099999999999999,118529.0,107861.38999999998
2007,Аршалынский,Пшеница,1.2,125061.0,150073.19999999998
2008,Аршалынский,Пшеница,0.77,138203.0,106416.31
2009,Аршалынский,Пшеница,1.1300000000000001,151732.0,171457.16
2010,Аршалынский,Пшеница,0.79,151700.0,119843.0
2011,Аршалынский,Пшеница,1.26,132733.0,167243.58
2012,Аршалынский,Пшеница,0.74,135100.0,99974.0
2013,Аршалынский,Пшеница,1.1300000000000001,138177.0,156140.01
2014,Аршалынский,Пшеница,1.09,136408.2,148684.93800000002
2015,Аршалынский,Пшеница,1.08,139434.0,150588.72
2016,Аршалынский,Пшеница,0.93,147246.0,136938.78
2017,Аршалынский,Пшеница,0.77,144410.2,111195.854
2018,Аршалынский,Пшеница,1.06,142811.9,151380.614
2019,Аршалынский,Пшеница,0.74,129658.0,95946.92
2020,Аршалынский,Пшеница,1.3,135487.0,176133.1
2021,Аршалынский,Пшеница,0.9293100000000001,156580.0,145511.3598
2022,Аршалынский,Пшеница,0.91049,161501.5,147045.500735
2023,Аршалынский,Пшеница,0.54,176389.3,95250.222
2024,Аршалынский,Пшеница,1.31,167869.6,219909.176
2025,Аршалынский,Пшеница,1.34,168623.25,225955.15500000003
1991,Астраханский,Зерновые и бобовые,0.63,317900.0,200277.0
1992,Астраханский,Зерновые и бобовые,1.61,318800.0,513268.00000000006
1993,Астраханский,Зерновые и бобовые,1.0,306500.0,306500.0
1994,Астраханский,Зерновые и бобовые,0.5599999999999999,273800.0,153327.99999999997
1995,Астраханский,Зерновые и бобовые,0.55,251200.0,138160.0
1996,Астраханский,Зерновые и бобовые,0.65,225500.0,146575.0
1997,Астраханский,Зерновые и бобовые,0.51,237700.0,121227.0
1998,Астраханский,Зерновые и бобовые,0.36,210000.0,75600.0
1999,Астраханский,Зерновые и бобовые,1.3699999999999999,200100.0,274137.0
2000,Астраханский,Зерновые и бобовые,0.77,250140.0,192607.80000000002
2001,Астраханский,Зерновые и бобовые,1.0699999999999998,275000.0,294249.99999999994
2002,Астраханский,Зерновые и бобовые,0.85,310000.0,263500.0
