year,district,crop,latitude,longitude,area_ha,yield_t_ha,weather_05_d1_temp_min,weather_05_d1_temp_mean,weather_05_d1_temp_max,weather_05_d1_precipitation_mm,weather_05_d1_humidity_mean,weather_05_d1_wind_mean_ms,weather_05_d1_wind_max_ms,weather_05_d1_sukhovei_fraction,weather_05_d1_gdd_base5,weather_05_d1_gwetroot,weather_05_d1_precip_anomaly_pct,weather_05_d1_precip_anomaly_z,weather_05_d2_temp_min,weather_05_d2_temp_mean,weather_05_d2_temp_max,weather_05_d2_precipitation_mm,weather_05_d2_humidity_mean,weather_05_d2_wind_mean_ms,weather_05_d2_wind_max_ms,weather_05_d2_sukhovei_fraction,weather_05_d2_gdd_base5,weather_05_d2_gwetroot,weather_05_d2_precip_anomaly_pct,weather_05_d2_precip_anomaly_z,weather_05_d3_temp_min,weather_05_d3_temp_mean,weather_05_d3_temp_max,weather_05_d3_precipitation_mm,weather_05_d3_humidity_mean,weather_05_d3_wind_mean_ms,weather_05_d3_wind_max_ms,weather_05_d3_sukhovei_fraction,weather_05_d3_gdd_base5,weather_05_d3_gwetroot,weather_05_d3_precip_anomaly_pct,weather_05_d3_precip_anomaly_z,weather_06_d1_temp_min,weather_06_d1_temp_mean,weather_06_d1_temp_max,weather_06_d1_precipitation_mm,weather_06_d1_humidity_mean,weather_06_d1_wind_mean_ms,weather_06_d1_wind_max_ms,weather_06_d1_sukhovei_fraction,weather_06_d1_gdd_base5,weather_06_d1_gwetroot,weather_06_d1_precip_anomaly_pct,weather_06_d1_precip_anomaly_z,weather_06_d2_temp_min,weather_06_d2_temp_mean,weather_06_d2_temp_max,weather_06_d2_precipitation_mm,weather_06_d2_humidity_mean,weather_06_d2_wind_mean_ms,weather_06_d2_wind_max_ms,weather_06_d2_sukhovei_fraction,weather_06_d2_gdd_base5,weather_06_d2_gwetroot,weather_06_d2_precip_anomaly_pct,weather_06_d2_precip_anomaly_z,weather_06_d3_temp_min,weather_06_d3_temp_mean,weather_06_d3_temp_max,weather_06_d3_precipitation_mm,weather_06_d3_humidity_mean,weather_06_d3_wind_mean_ms,weather_06_d3_wind_max_ms,weather_06_d3_sukhovei_fraction,weather_06_d3_gdd_base5,weather_06_d3_gwetroot,weather_06_d3_precip_anomaly_pct,weather_06_d3_precip_anomaly_z,weather_07_d1_temp_min,weather_07_d1_temp_mean,weather_07_d1_temp_max,weather_07_d1_precipitation_mm,weather_07_d1_humidity_mean,weather_07_d1_wind_mean_ms,weather_07_d1_wind_max_ms,weather_07_d1_sukhovei_fraction,weather_07_d1_gdd_base5,weather_07_d1_gwetroot,weather_07_d1_precip_anomaly_pct,weather_07_d1_precip_anomaly_z,weather_07_d2_temp_min,weather_07_d2_temp_mean,weather_07_d2_temp_max,weather_07_d2_precipitation_mm,weather_07_d2_humidity_mean,weather_07_d2_wind_mean_ms,weather_07_d2_wind_max_ms,weather_07_d2_sukhovei_fraction,weather_07_d2_gdd_base5,weather_07_d2_gwetroot,weather_07_d2_precip_anomaly_pct,weather_07_d2_precip_anomaly_z,weather_07_d3_temp_min,weather_07_d3_temp_mean,weather_07_d3_temp_max,weather_07_d3_precipitation_mm,weather_07_d3_humidity_mean,weather_07_d3_wind_mean_ms,weather_07_d3_wind_max_ms,weather_07_d3_sukhovei_fraction,weather_07_d3_gdd_base5,weather_07_d3_gwetroot,weather_07_d3_precip_anomaly_pct,weather_07_d3_precip_anomaly_z,weather_08_d1_temp_min,weather_08_d1_temp_mean,weather_08_d1_temp_max,weather_08_d1_precipitation_mm,weather_08_d1_humidity_mean,weather_08_d1_wind_mean_ms,weather_08_d1_wind_max_ms,weather_08_d1_sukhovei_fraction,weather_08_d1_gdd_base5,weather_08_d1_gwetroot,weather_08_d1_precip_anomaly_pct,weather_08_d1_precip_anomaly_z,weather_08_d2_temp_min,weather_08_d2_temp_mean,weather_08_d2_temp_max,weather_08_d2_precipitation_mm,weather_08_d2_humidity_mean,weather_08_d2_wind_mean_ms,weather_08_d2_wind_max_ms,weather_08_d2_sukhovei_fraction,weather_08_d2_gdd_base5,weather_08_d2_gwetroot,weather_08_d2_precip_anomaly_pct,weather_08_d2_precip_anomaly_z,weather_08_d3_temp_min,weather_08_d3_temp_mean,weather_08_d3_temp_max,weather_08_d3_precipitation_mm,weather_08_d3_humidity_mean,weather_08_d3_wind_mean_ms,weather_08_d3_wind_max_ms,weather_08_d3_sukhovei_fraction,weather_08_d3_gdd_base5,weather_08_d3_gwetroot,weather_08_d3_precip_anomaly_pct,weather_08_d3_precip_anomaly_z,weather_09_d1_temp_min,weather_09_d1_temp_mean,weather_09_d1_temp_max,weather_09_d1_precipitation_mm,weather_09_d1_humidity_mean,weather_09_d1_wind_mean_ms,weather_09_d1_wind_max_ms,weather_09_d1_sukhovei_fraction,weather_09_d1_gdd_base5,weather_09_d1_gwetroot,weather_09_d1_precip_anomaly_pct,weather_09_d1_precip_anomaly_z,weather_09_d2_temp_min,weather_09_d2_temp_mean,weather_09_d2_temp_max,weather_09_d2_precipitation_mm,weather_09_d2_humidity_mean,weather_09_d2_wind_mean_ms,weather_09_d2_wind_max_ms,weather_09_d2_sukhovei_fraction,weather_09_d2_gdd_base5,weather_09_d2_gwetroot,weather_09_d2_precip_anomaly_pct,weather_09_d2_precip_anomaly_z,weather_09_d3_temp_min,weather_09_d3_temp_mean,weather_09_d3_temp_max,weather_09_d3_precipitation_mm,weather_09_d3_humidity_mean,weather_09_d3_wind_mean_ms,weather_09_d3_wind_max_ms,weather_09_d3_sukhovei_fraction,weather_09_d3_gdd_base5,weather_09_d3_gwetroot,weather_09_d3_precip_anomaly_pct,weather_09_d3_precip_anomaly_z,weather_10_d1_temp_min,weather_10_d1_temp_mean,weather_10_d1_temp_max,weather_10_d1_precipitation_mm,weather_10_d1_humidity_mean,weather_10_d1_wind_mean_ms,weather_10_d1_wind_max_ms,weather_10_d1_sukhovei_fraction,weather_10_d1_gdd_base5,weather_10_d1_gwetroot,weather_10_d1_precip_anomaly_pct,weather_10_d1_precip_anomaly_z,weather_10_d2_temp_min,weather_10_d2_temp_mean,weather_10_d2_temp_max,weather_10_d2_precipitation_mm,weather_10_d2_humidity_mean,weather_10_d2_wind_mean_ms,weather_10_d2_wind_max_ms,weather_10_d2_sukhovei_fraction,weather_10_d2_gdd_base5,weather_10_d2_gwetroot,weather_10_d2_precip_anomaly_pct,weather_10_d2_precip_anomaly_z,soil_clay_0_5cm,soil_phh2o_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_soc_0_5cm,yield_lag_1,yield_lag_2,yield_lag_3
1991,Целиноградский,Пшеница,51.2,71.45,150.0,0.76,4.18,12.67,19.81,0.0,43.7,3.518,8.46,0.0,80.3,0.45200000000000007,0.0,0.0,8.559999999999999,15.14,20.61,3.0,48.4,3.189,7.36,0.0,101.4,0.43099999999999994,0.0,0.0,9.154545454545454,16.845454545454547,23.036363636363635,1.9,36.45454545454545,3.6972727272727273,6.69,0.0,130.3,0.41727272727272724,0.0,0.0,16.11,22.91,28.380000000000003,0.2,32.3,4.085,8.15,0.1,179.1,0.40099999999999997,0.0,0.0,16.31,22.72,27.869999999999997,7.1000000000000005,40.8,2.981,8.88,0.0,177.2,0.388,0.0,0.0,14.459999999999999,21.330000000000002,26.76,2.4,43.5,3.22,5.64,0.0,163.3,0.387,0.0,0.0,15.85,21.31,25.56,6.2,43.8,3.161,6.43,0.0,163.1,0.38,0.0,0.0,16.240000000000002,21.23,26.580000000000002,20.6,54.5,3.489,6.57,0.0,162.3,0.388,0.0,0.0,17.227272727272727,21.990909090909092,26.69090909090909,20.5,65.45454545454545,2.9209090909090913,5.23,0.0,186.9,0.3954545454545455,0.0,0.0,11.45,16.71,21.04,9.799999999999999,52.9,4.5120000000000005,9.9,0.0,117.1,0.387,0.0,0.0,11.25,16.31,21.25,13.7,65.0,3.348,7.91,0.0,113.1,0.385,0.0,0.0,11.818181818181818,17.536363636363635,22.90909090909091,1.0,55.36363636363637,2.8109090909090906,6.91,0.0,137.9,0.3836363636363636,0.0,0.0,13.069999999999999,18.21,23.31,9.7,53.0,4.017,8.35,0.0,132.1,0.38,0.0,0.0,7.18,12.430000000000001,17.380000000000003,3.1,51.4,3.8340000000000005,6.9,0.0,74.3,0.379,0.0,0.0,8.15,13.11,18.78,11.9,60.1,3.304,7.36,0.0,81.1,0.382,0.0,0.0,3.6799999999999997,8.209999999999999,13.569999999999999,1.1,60.5,3.55,7.66,0.0,36.9,0.38,0.0,0.0,0.42000000000000004,3.0799999999999996,6.040000000000001,5.5,63.0,4.05,5.97,0.0,0.5999999999999996,0.388,0.0,0.0,,,,,,,,
1992,Целиноградский,Пшеница,51.2,71.45,150.0,1.95,0.97,6.26,11.059999999999999,9.7,60.5,3.761,8.64,0.0,29.5,0.462,0.0,0.0,9.91,17.96,24.8,4.1,49.0,2.874,5.59,0.0,129.6,0.43899999999999995,0.0,0.0,6.4818181818181815,11.509090909090908,15.781818181818181,19.0,63.09090909090909,3.4,10.24,0.0,71.6,0.43727272727272726,0.0,0.0,6.890000000000001,12.62,17.3,41.4,65.6,3.968,12.12,0.0,76.6,0.458,0.0,0.0,8.5,13.930000000000001,18.71,12.6,64.1,3.098,6.54,0.0,89.3,0.44400000000000006,0.0,0.0,14.73,20.97,26.27,16.7,56.0,3.415,7.66,0.0,159.7,0.425,0.0,0.0,12.260000000000002,17.889999999999997,22.619999999999997,26.799999999999997,59.2,3.783,8.04,0.0,128.89999999999998,0.445,0.0,0.0,16.7,23.130000000000003,29.02,1.0,49.2,3.248,6.22,0.0,181.3,0.406,0.0,0.0,13.481818181818182,17.927272727272726,22.01818181818182,36.8,66.81818181818181,3.5090909090909093,7.62,0.0,142.2,0.41727272727272724,0.0,0.0,13.580000000000002,19.54,24.92,4.5,57.4,2.887,6.16,0.0,145.4,0.4109999999999999,0.0,0.0,12.01,16.22,20.55,31.6,69.5,2.895,7.5,0.0,112.2,0.43,0.0,0.0,11.409090909090908,14.454545454545455,18.38181818181818,41.3,72.72727272727273,3.6045454545454545,7.64,0.0,104.0,0.4290909090909091,0.0,0.0,8.95,12.830000000000002,17.0,11.3,71.3,3.433,10.2,0.0,78.3,0.44000000000000006,0.0,0.0,3.2600000000000002,7.18,10.99,0.0,68.3,3.357,7.12,0.0,22.299999999999997,0.426,0.0,0.0,1.59,5.14,8.940000000000001,7.999999999999999,68.7,3.045,6.45,0.0,9.7,0.42699999999999994,0.0,0.0,1.6600000000000001,5.2700000000000005,9.43,10.0,65.5,3.4509999999999996,9.42,0.0,9.3,0.43600000000000005,0.0,0.0,4.04,7.6,12.139999999999999,4.5,69.2,4.582,8.88,0.0,14.4,0.44000000000000006,0.0,0.0,,,,,,0.76,,
1993,Целиноградский,Пшеница,51.2,71.45,150.0,1.15,-1.05,5.65,11.39,27.199999999999996,64.8,4.178,11.51,0.0,25.4,0.496,0.0,0.0,4.63,12.4,19.6,2.9000000000000004,55.1,3.818,9.61,0.0,74.0,0.488,0.0,0.0,6.654545454545455,11.854545454545455,16.39090909090909,19.799999999999997,59.0,4.005454545454546,11.32,0.0,75.4,0.46727272727272723,0.0,0.0,9.92,15.41,20.06,30.6,74.8,2.352,4.92,0.0,104.1,0.46799999999999997,0.0,0.0,11.940000000000001,17.14,21.56,9.6,60.9,3.714,8.49,0.0,121.4,0.45,0.0,0.0,15.41,20.72,25.56,23.8,64.6,3.656,7.65,0.0,157.2,0.442,0.0,0.0,16.11,20.89,25.54,28.1,63.7,3.782,7.18,0.0,158.9,0.422,0.0,0.0,16.2,20.61,25.36,30.3,72.0,3.2409999999999997,7.42,0.0,156.1,0.43099999999999994,0.0,0.0,14.172727272727274,18.072727272727274,21.836363636363636,45.2,71.9090909090909,2.6427272727272726,8.85,0.0,143.8,0.43454545454545457,0.0,0.0,11.709999999999999,17.48,22.44,0.7,64.1,2.587,5.74,0.0,124.8,0.425,0.0,0.0,14.0,19.84,24.69,4.3999999999999995,59.4,3.525,8.75,0.0,148.4,0.404,0.0,0.0,12.97272727272727,17.363636363636363,21.963636363636365,21.4,63.63636363636363,4.0627272727272725,10.66,0.0,136.0,0.4090909090909091,0.0,0.0,6.55,10.72,15.0,6.1,60.6,3.59,9.73,0.0,57.2,0.40700000000000003,0.0,0.0,6.34,10.65,14.959999999999999,3.1,57.0,4.132,8.5,0.0,56.5,0.4,0.0,0.0,2.4899999999999998,6.2,9.86,16.2,59.8,4.883,8.46,0.0,23.2,0.41200000000000003,0.0,0.0,0.52,4.6899999999999995,8.85,1.9,64.9,4.045,11.23,0.0,11.0,0.41,0.0,0.0,0.03999999999999993,5.26,12.280000000000001,0.0,56.8,3.002,5.24,0.0,6.300000000000001,0.40800000000000003,0.0,0.0,,,,,,1.95,0.76,
1994,Целиноградский,Пшеница,51.2,71.45,150.0,0.63,7.970000000000001,15.280000000000001,21.759999999999998,1.7,50.8,3.871,8.48,0.0,102.8,0.43899999999999995,0.0,0.0,4.65,10.67,16.54,36.5,67.6,4.112,10.56,0.0,56.7,0.44400000000000006,0.0,0.0,7.418181818181818,15.181818181818182,21.536363636363635,2.0,45.0,3.919090909090909,10.24,0.0,112.0,0.42454545454545456,0.0,0.0,13.4,20.490000000000002,26.7,2.8,36.8,4.558,8.78,0.0,154.9,0.404,0.0,0.0,15.05,22.69,28.52,0.9,35.1,2.9170000000000003,6.82,0.0,176.9,0.394,0.0,0.0,16.64,23.37,29.389999999999997,15.5,45.7,3.651,7.32,0.0,183.70000000000002,0.387,0.0,0.0,16.169999999999998,21.509999999999998,26.47,21.8,55.2,3.045,5.97,0.0,165.1,0.40099999999999997,0.0,0.0,13.25,16.34,19.82,42.9,74.2,3.3560000000000003,9.29,0.0,113.4,0.40599999999999997,0.0,0.0,13.363636363636363,18.11818181818182,22.69090909090909,27.400000000000002,67.45454545454545,3.3927272727272726,7.5,0.0,144.3,0.4081818181818182,0.0,0.0,12.87,17.990000000000002,22.35,21.6,72.4,2.681,5.78,0.0,129.9,0.40700000000000003,0.0,0.0,13.66,18.84,23.990000000000002,12.3,67.2,2.6719999999999997,6.02,0.0,138.4,0.4149999999999999,0.0,0.0,10.545454545454545,14.57272727272727,18.581818181818182,13.299999999999999,66.63636363636364,3.790909090909091,7.72,0.0,105.3,0.40454545454545454,0.0,0.0,6.65,11.47,16.23,21.2,65.9,3.6620000000000004,6.85,0.0,64.7,0.41899999999999993,0.0,0.0,5.32,8.72,12.77,18.400000000000002,71.5,3.5100000000000002,8.24,0.0,38.4,0.425,0.0,0.0,5.83,10.91,15.919999999999998,6.9,61.1,3.675,7.45,0.0,59.1,0.43,0.0,0.0,4.63,9.74,16.04,0.0,58.2,2.665,5.94,0.0,47.4,0.417,0.0,0.0,-0.4600000000000001,4.0,9.059999999999999,0.0,51.2,2.996,5.41,0.0,3.0,0.41,0.0,0.0,,,,,,1.15,1.95,0.76
1995,Целиноградский,Пшеница,51.2,71.45,150.0,0.62,7.62,13.75,19.77,27.6,54.3,4.0,9.9,0.0,87.5,0.44800000000000006,0.0,0.0,6.140000000000001,12.18,17.05,7.4,53.5,3.97,7.7,0.0,71.8,0.446,0.0,0.0,7.3,12.781818181818181,17.845454545454547,21.700000000000003,61.36363636363637,3.6254545454545455,7.86,0.0,85.6,0.45,0.0,0.0,7.470000000000001,14.0,19.47,13.9,58.1,4.218,10.2,0.0,90.0,0.43899999999999995,0.0,0.0,11.64,18.39,23.95,2.3,52.4,2.944,6.0,0.0,133.9,0.42800000000000005,0.0,0.0,16.53,23.240000000000002,28.77,1.7000000000000002,42.3,3.662,7.63,0.0,182.4,0.40700000000000003,0.0,0.0,19.44,23.86,28.15,23.8,61.7,3.3049999999999997,7.64,0.0,188.6,0.403,0.0,0.0,14.930000000000001,20.14,25.130000000000003,4.5,49.4,3.5060000000000002,7.66,0.0,151.4,0.404,0.0,0.0,15.47272727272727,21.509090909090908,26.7,11.200000000000001,54.54545454545455,3.0509090909090912,6.05,0.0,181.6,0.39454545454545453,0.0,0.0,15.86,21.580000000000002,26.93,24.7,52.1,3.569,7.86,0.0,165.8,0.388,0.0,0.0,16.09,22.009999999999998,27.25,1.8,40.1,3.897,6.83,0.1,170.1,0.376,0.0,0.0,11.872727272727273,16.12727272727273,20.3,52.800000000000004,62.09090909090909,3.463636363636364,7.67,0.0,122.4,0.41,0.0,0.0,9.870000000000001,15.2,20.509999999999998,1.1,63.8,2.558,5.01,0.0,102.0,0.402,0.0,0.0,6.5,11.84,16.72,38.699999999999996,62.1,3.5159999999999996,7.79,0.0,69.5,0.41,0.0,0.0,4.0600000000000005,8.27,12.76,17.2,68.2,4.056,9.88,0.0,32.7,0.42800000000000005,0.0,0.0,3.38,8.879999999999999,15.39,0.7,64.4,3.102,5.73,0.0,38.8,0.422,0.0,0.0,3.96,7.06,10.32,26.9,72.6,6.212000000000001,11.32,0.0,13.5,0.43,0.0,0.0,,,,,,0.63,1.15,1.95
1996,Целиноградский,Пшеница,51.2,71.45,150.0,1.0,3.79,11.17,17.73,12.4,66.5,3.01,9.9,0.0,65.0,0.492,0.0,0.0,6.62,14.24,20.990000000000002,4.8,53.9,4.053,9.59,0.0,92.4,0.46699999999999997,0.0,0.0,5.172727272727273,11.009090909090908,15.481818181818182,7.6,53.09090909090909,4.131818181818182,8.76,0.0,66.1,0.4509090909090909,0.0,0.0,12.290000000000001,19.630000000000003,25.59,4.2,46.1,3.3579999999999997,7.92,0.0,146.3,0.425,0.0,0.0,12.959999999999999,17.869999999999997,22.64,35.599999999999994,66.1,4.308,7.8,0.0,128.7,0.43099999999999994,0.0,0.0,15.219999999999999,21.669999999999998,26.57,2.5,51.0,3.284,6.86,0.0,166.7,0.40700000000000003,0.0,0.0,14.690000000000001,19.27,23.73,37.5,64.8,2.959,7.6,0.0,142.7,0.40599999999999997,0.0,0.0,14.459999999999999,19.75,24.59,12.8,67.1,3.372,5.91,0.0,147.5,0.4109999999999999,0.0,0.0,16.745454545454546,21.70909090909091,26.281818181818185,8.5,60.54545454545455,2.8045454545454547,5.17,0.0,183.8,0.3963636363636364,0.0,0.0,15.41,22.09,27.79,2.2,49.0,3.169,7.62,0.0,170.9,0.382,0.0,0.0,9.610000000000001,13.690000000000001,17.47,17.0,65.3,2.878,6.17,0.0,86.9,0.387,0.0,0.0,8.118181818181817,12.254545454545456,16.427272727272726,41.0,67.63636363636364,4.3136363636363635,8.95,0.0,79.8,0.40545454545454546,0.0,0.0,7.33,13.209999999999999,18.869999999999997,0.9,60.9,2.7,6.45,0.0,82.10000000000001,0.414,0.0,0.0,9.22,12.43,16.25,15.3,65.7,3.279,7.21,0.0,74.3,0.40499999999999997,0.0,0.0,4.04,7.94,11.7,20.2,63.1,3.242,8.01,0.0,30.0,0.41200000000000003,0.0,0.0,-0.34,4.529999999999999,10.1,16.8,74.5,3.5780000000000003,8.15,0.0,11.0,0.42800000000000005,0.0,0.0,3.62,6.640000000000001,9.780000000000001,3.5999999999999996,76.0,3.5620000000000003,7.37,0.0,8.5,0.43,0.0,0.0,,,,,,0.62,0.63,1.15
1997,Целиноградский,Пшеница,51.2,71.45,150.0,0.64,6.83,12.059999999999999,16.65,23.0,67.6,3.9530000000000003,9.28,0.0,70.6,0.45099999999999996,0.0,0.0,6.4799999999999995,11.190000000000001,15.86,35.1,68.2,3.8339999999999996,8.61,0.0,61.9,0.462,0.0,0.0,11.727272727272727,18.990909090909092,25.145454545454548,3.5,55.63636363636363,2.969090909090909,6.8,0.0,153.9,0.44909090909090915,0.0,0.0,10.83,17.8,23.84,0.4,39.1,3.7119999999999997,8.95,0.0,128.0,0.417,0.0,0.0,13.35,20.29,26.110000000000003,1.5,44.8,3.6729999999999996,7.81,0.0,152.9,0.40599999999999997,0.0,0.0,14.819999999999999,20.86,25.939999999999998,0.5,44.2,3.832,7.75,0.0,158.6,0.40700000000000003,0.0,0.0,16.169999999999998,22.490000000000002,28.22,15.6,43.1,3.6090000000000004,6.9,0.1,174.9,0.393,0.0,0.0,14.59,20.080000000000002,25.31,12.6,47.4,3.429,6.38,0.0,150.8,0.391,0.0,0.0,12.781818181818181,18.59090909090909,23.745454545454546,8.2,44.54545454545455,3.5109090909090908,6.8,0.0,149.5,0.38272727272727275,0.0,0.0,15.98,21.71,26.910000000000004,2.2,45.2,3.778,7.22,0.0,167.1,0.38,0.0,0.0,15.35,21.279999999999998,26.75,7.0,40.8,3.585,8.96,0.1,162.79999999999998,0.375,0.0,0.0,10.299999999999999,15.736363636363636,20.363636363636363,4.2,53.0,3.767272727272727,7.45,0.0,118.10000000000001,0.3781818181818182,0.0,0.0,5.26,10.65,15.98,7.799999999999999,56.2,3.034,8.85,0.0,56.5,0.38,0.0,0.0,8.879999999999999,14.52,20.32,1.4,49.8,3.782,6.92,0.0,95.2,0.37,0.0,0.0,9.440000000000001,15.35,22.080000000000002,0.0,43.4,3.7079999999999997,6.24,0.0,103.5,0.37,0.0,0.0,6.539999999999999,12.71,19.28,3.6,33.4,3.8770000000000002,9.76,0.0,77.10000000000001,0.373,0.0,0.0,3.3200000000000003,8.76,14.34,7.4,71.8,4.328,10.25,0.0,18.799999999999997,0.388,0.0,0.0,,,,,,1.0,0.62,0.63
1998,Целиноградский,Пшеница,51.2,71.45,150.0,0.4599999999999999,3.4099999999999993,10.370000000000001,16.39,8.7,53.1,3.8899999999999997,9.46,0.0,60.900000000000006,0.44000000000000006,0.0,0.0,2.6100000000000003,8.5,14.040000000000001,19.3,59.0,5.016,9.21,0.0,37.6,0.45,0.0,0.0,10.145454545454545,17.900000000000002,24.472727272727273,3.9,48.18181818181818,3.190909090909091,8.1,0.0,141.9,0.4309090909090909,0.0,0.0,12.919999999999998,20.39,26.07,6.4,38.9,3.2379999999999995,6.89,0.0,153.9,0.40700000000000003,0.0,0.0,15.629999999999999,22.48,28.110000000000003,8.0,44.1,3.5740000000000003,6.26,0.0,174.8,0.409,0.0,0.0,16.34,22.46,28.810000000000002,6.5,50.4,3.223,8.52,0.0,174.6,0.391,0.0,0.0,16.89,22.82,28.4,23.7,55.7,3.478,6.22,0.0,178.2,0.388,0.0,0.0,18.8,24.009999999999998,29.130000000000003,21.5,54.5,3.457,6.78,0.0,190.1,0.40099999999999997,0.0,0.0,18.28181818181818,24.9,30.3,1.4,38.27272727272727,4.246363636363636,6.23,0.0,218.9,0.3981818181818182,0.0,0.0,21.43,28.169999999999998,33.94,1.0,32.6,3.0010000000000003,5.63,0.1,231.7,0.376,0.0,0.0,15.25,20.16,24.71,26.0,54.8,2.623,6.45,0.0,151.6,0.383,0.0,0.0,12.881818181818181,19.745454545454546,25.936363636363637,0.4,45.0,3.1554545454545457,7.81,0.0,162.2,0.38727272727272727,0.0,0.0,11.28,15.690000000000001,20.419999999999998,7.1,50.8,3.7960000000000003,9.08,0.0,106.9,0.38,0.0,0.0,4.779999999999999,11.68,18.43,2.7,42.1,2.984,7.6,0.0,66.8,0.38,0.0,0.0,3.7,8.72,13.930000000000001,1.6,49.1,4.0409999999999995,11.63,0.0,38.4,0.374,0.0,0.0,2.3299999999999996,5.82,10.14,11.1,52.9,5.489,10.37,0.0,22.7,0.377,0.0,0.0,3.44,6.0200000000000005,8.8,3.1,61.4,5.093999999999999,8.57,0.0,6.9,0.38,0.0,0.0,,,,,,0.64,1.0,0.62
1999,Целиноградский,Пшеница,51.2,71.45,150.0,1.21,4.85,11.7,17.32,15.7,50.7,3.586,8.08,0.0,67.8,0.43200000000000005,0.0,0.0,6.840000000000001,14.5,21.619999999999997,2.0999999999999996,38.2,4.627,12.46,0.1,95.0,0.42400000000000004,0.0,0.0,10.618181818181817,18.518181818181816,24.663636363636364,0.8,41.09090909090909,3.351818181818182,8.51,0.18181818181818182,148.7,0.4027272727272727,0.0,0.0,11.11,16.5,21.46,28.2,57.1,3.9629999999999996,8.71,0.0,115.0,0.413,0.0,0.0,7.3,12.540000000000001,17.25,37.400000000000006,62.5,3.636,9.28,0.0,75.4,0.422,0.0,0.0,12.36,16.509999999999998,20.77,58.800000000000004,74.1,3.8619999999999997,6.8,0.0,115.1,0.466,0.0,0.0,15.669999999999998,21.72,27.439999999999998,10.9,57.1,3.07,5.41,0.0,167.2,0.429,0.0,0.0,15.64,20.330000000000002,24.830000000000002,33.7,69.0,3.332,8.23,0.0,153.3,0.43,0.0,0.0,16.081818181818182,22.30909090909091,27.5,3.7,53.90909090909091,3.2709090909090914,6.3,0.0,190.4,0.4127272727272727,0.0,0.0,14.84,20.21,25.130000000000003,23.6,52.3,3.3329999999999997,7.17,0.0,152.1,0.399,0.0,0.0,15.15,21.119999999999997,26.669999999999998,1.3,46.4,2.855,6.58,0.0,161.2,0.392,0.0,0.0,13.636363636363637,20.79090909090909,27.19090909090909,0.0,37.54545454545455,3.3327272727272725,7.92,0.0,173.7,0.3809090909090909,0.0,0.0,8.85,13.05,17.34,19.599999999999998,62.9,4.6,9.02,0.0,80.5,0.387,0.0,0.0,12.059999999999999,17.619999999999997,24.02,1.8,46.1,3.347,8.41,0.0,126.19999999999999,0.386,0.0,0.0,5.62,9.73,14.180000000000001,3.0,56.1,2.686,7.02,0.0,47.3,0.38,0.0,0.0,8.03,11.870000000000001,16.61,3.7,66.4,2.955,6.18,0.0,68.7,0.382,0.0,0.0,4.08,9.86,15.719999999999999,0.0,57.4,3.3259999999999996,7.55,0.0,24.3,0.38,0.0,0.0,,,,,,0.4599999999999999,0.64,1.0
2000,Целиноградский,Пшеница,51.2,71.45,150.0,0.85,3.6799999999999997,8.92,14.65,26.0,63.6,4.509,9.36,0.0,40.5,0.469,0.0,0.0,6.99,11.57,16.25,33.9,67.7,3.782,9.99,0.0,65.7,0.462,0.0,0.0,8.181818181818182,12.863636363636363,17.536363636363635,36.599999999999994,72.18181818181819,3.688181818181818,8.51,0.0,86.5,0.4681818181818182,0.0,0.0,10.55,14.65,18.94,29.9,71.1,3.897,7.75,0.0,96.5,0.466,0.0,0.0,12.88,18.830000000000002,23.509999999999998,26.0,63.7,3.344,7.66,0.0,138.3,0.453,0.0,0.0,17.630000000000003,22.66,27.660000000000004,15.7,61.8,3.846,8.42,0.0,176.6,0.422,0.0,0.0,14.65,20.16,25.02,7.3999999999999995,50.8,3.5200000000000005,8.16,0.0,151.6,0.409,0.0,0.0,14.030000000000001,18.740000000000002,23.1,25.0,63.6,3.5879999999999996,7.44,0.0,137.4,0.4,0.0,0.0,15.218181818181819,21.463636363636365,26.845454545454547,3.0999999999999996,47.18181818181818,2.7345454545454544,6.55,0.0,181.1,0.3936363636363636,0.0,0.0,18.28,23.31,28.419999999999998,5.4,49.1,3.463,7.6,0.0,183.1,0.383,0.0,0.0,14.48,20.330000000000002,26.410000000000004,8.3,48.0,3.232,6.73,0.0,153.3,0.38,0.0,0.0,12.345454545454544,16.518181818181816,20.863636363636363,8.9,56.81818181818182,3.6290909090909094,6.49,0.0,126.69999999999999,0.37999999999999995,0.0,0.0,10.75,18.27,25.36,0.0,36.3,3.7729999999999997,7.62,0.2,132.7,0.375,0.0,0.0,9.129999999999999,13.52,18.020000000000003,5.0,53.7,4.162,8.83,0.0,85.2,0.378,0.0,0.0,0.37,3.75,7.25,35.7,72.6,4.893,8.23,0.0,7.5,0.39699999999999996,0.0,0.0,-1.5399999999999998,0.5,3.17,8.0,72.2,3.872,6.65,0.0,0.0,0.41,0.0,0.0,-2.3,1.1,5.32,1.7,74.8,2.8600000000000003,5.48,0.0,0.0,0.41,0.0,0.0,,,,,,1.21,0.4599999999999999,0.64
